id,title,poster_path,has_ocr_text,method,nova_confidence,is_movie_poster,error,human_verdict
17796,Freaked,/enQ9FBLo4bd7AHX78geP6qRSl9U.jpg,True,ocr_text_present,,True,,es_poster
9095,Mary Reilly,/cW5wTiv5fdtBOd22utmAIZBCMS3.jpg,True,ocr_text_present,,True,,es_poster
19205,Cthulhu,/rgf0vEc19nRmscRPu9y410GbhgM.jpg,False,nova_zero_ocr,high,True,,es_poster
30405,Space Psychos 4,/tuVTqvIoQp96cnm7LfbyRE1UcaT.jpg,False,nova_zero_ocr,high,False,,no_es_poster
22033,Cry of the Banshee,/urub0N7F8mZDEsMwORiN2T2vTXq.jpg,False,nova_zero_ocr,high,True,,es_poster
9669,Ringu 2,/HREqYQWkGnH2viRQEXupCSX7ID.jpg,False,nova_zero_ocr,high,True,,es_poster
36166,Devilman,/qRvH8FsUUNd9buirqnHNk3CCF1f.jpg,True,ocr_text_present,,True,,es_poster
17212,Patrick,/qxydnHE4D5ArBRNtihlVs5rhhO2.jpg,False,nova_zero_ocr,high,True,,es_poster
31232,It!,/sBMFTviUDt6bm8LROkAWAvw1Ts5.jpg,False,nova_zero_ocr,high,True,,es_poster
28780,Deathmaster,/h809Bz0ftjmDl07PdD6URYdAWH2.jpg,False,nova_zero_ocr,high,True,,es_poster
40368,Nightmare,/OFysFt0EIXHW89iv38VURpKpKW.jpg,True,ocr_text_present,,True,,es_poster
13742,Satan,/rYdoMFMBbG7tzurtHrYNc1zcqQz.jpg,False,nova_zero_ocr,high,True,,es_poster
26587,Dread,/zJvKJ2SKATSRL7cdR2qW2LbaTaS.jpg,False,nova_zero_ocr,high,True,,es_poster
20215,Boo,/9VyMAPsjUIeLf71J2OG5V8DO7Jj.jpg,False,nova_zero_ocr,high,True,,es_poster
21797,The Wig,/bkonX3gOXQ1KC7kr6ufITli4h3o.jpg,False,nova_zero_ocr,high,True,,es_poster
17874,Laserblast,/jxv1Z0URENuWADDRwvRINUWUsP.jpg,False,nova_zero_ocr,high,True,,es_poster
20015,KM 31: Kilometer 31,/hI1YBR4afo7zOrJfdaaO9GRKEvj.jpg,False,nova_zero_ocr,high,True,,es_poster
28454,Cthulhu Mansion,/1BhPMge0n7gp1EDaI7d1OwrYkQe.jpg,False,nova_zero_ocr,high,True,,es_poster
26178,Razorback,/227exUUzUWkCYOVoPxap5RaVmTM.jpg,False,nova_zero_ocr,high,True,,es_poster
14157,Impulse,/80SZWcSwdAAym8mHN71RTL3l3JI.jpg,False,nova_zero_ocr,high,True,,es_poster
35040,Croc,/c3moWZrfZRp38FWystfNYTrGOh4.jpg,False,nova_zero_ocr,high,True,,es_poster
26198,The Keep,/yd9wU3oajNxwaFHQ02rtTBuSFJD.jpg,False,nova_zero_ocr,high,True,,es_poster
40351,Sex Beyond the Grave,/eYMPaQKfo5IBAnKfwsGkCiUIyNA.jpg,False,nova_zero_ocr,high,True,,es_poster
53459,F,/pVIEx8sru5F6NErffwVxs815VYY.jpg,True,ocr_text_present,,True,,es_poster
65599,The Woman,/zOGqKcuApM1Js4C0n4luv9rctBH.jpg,True,ocr_text_present,,True,,es_poster
48581,The Sandman,/k27nu90cLVzyTltOtHjQoUdi5o7.jpg,False,nova_zero_ocr,high,True,,es_poster
47957,Madman,/2pZxY7b22LicdcvWNMCyX8VseVG.jpg,False,nova_zero_ocr,high,True,,es_poster
31116,Zaat,/g0kYZe6feiXQowaNsV6GBW5R5q0.jpg,False,nova_zero_ocr,high,True,,es_poster
55142,Cadaver,/dZNg6irU6tgL8n73UmjQGijv6y0.jpg,False,nova_zero_ocr,high,True,,es_poster
73179,Haunted Gold,/xAscwFtgLyzoxRghiospveh3WQm.jpg,True,ocr_text_present,,True,,es_poster
48636,Nekromantik 2,/q1CtldLFgg4kRP81o0mY9f42ubJ.jpg,False,nova_zero_ocr,high,True,,es_poster
51248,11-11-11,/t6Wd9gY6e1yJVVXRtgICFqwieyu.jpg,False,nova_zero_ocr,high,True,,es_poster
77483,Dunderland,/xrqMYN3SWR9hih1kthH9nosghp1.jpg,False,nova_zero_ocr,high,True,,es_poster
71480,Unborn But Forgotten,/9R9qTTdkEs3uNPzITUuI4TsyiZc.jpg,False,nova_zero_ocr,high,True,,es_poster
85646,Entrance,/bpsMVtUZ58bPpI9U34E1pOgin5v.jpg,True,ocr_text_present,,True,,es_poster
53122,Chandramukhi,/r7lLdyiJ1e2FmDP6rvxsUDk7Uju.jpg,False,nova_zero_ocr,high,True,,es_poster
56328,2002,/3SJBGwJnpLI2yEyaVqByife4Xfi.jpg,False,nova_zero_ocr,high,True,,es_poster
57961,Slashers,/7NcCGeHLz0iRidiOo109Hww24YP.jpg,False,nova_zero_ocr,high,True,,es_poster
83519,Witchcraft,/nXxxW0Gl66xqwJE9fpTLN0bPqBh.jpg,True,ocr_text_present,,True,,es_poster
90063,Vampires in Havana,/cihNBv06b3H2Ha91YTGBFUk2M48.jpg,True,ocr_text_present,,True,,es_poster
81990,Cellular Girlfriends,/hCNoSI6vBIfVR4ndMnCLLiFxHjy.jpg,False,nova_zero_ocr,high,True,,es_poster
100241,"I, Frankenstein",/a53tIl4k20zCZCNyq73kiXkwWkl.jpg,True,ocr_text_present,,True,,es_poster
66315,Aayiram Jenmangal,/83TUWbPMOCGuQPIFw3aO61nIMqa.jpg,False,nova_zero_ocr,high,True,,es_poster
83172,Spawn of the Slithis,/kk2yyfgTA9qtBhtu7016jdeOzJP.jpg,False,nova_zero_ocr,high,True,,es_poster
56915,Blown,/tesN5ykFKmaZms0VIZB9DMKZcDw.jpg,False,nova_zero_ocr,high,True,,es_poster
79624,Curse,/qBJfmLCtczkayFXduwhFvX9vsZm.jpg,False,nova_zero_ocr,high,True,,es_poster
88784,Devil Hunter Yohko 4-Ever,/4v9qSCcbsOMketpZDL07Y5VT1pj.jpg,False,nova_zero_ocr,high,False,,no_es_poster
90338,Fiend,/nne4ZJsEX0pMV6YmUUuMI9BpJIg.jpg,True,ocr_text_present,,True,,es_poster
57812,51,/p6NvaDusl8urJUlglYgPVSnJjFN.jpg,False,nova_zero_ocr,high,True,,es_poster
85198,Frightmare,/joQ36TBtUfMlQilc44gcRiY5Nqv.jpg,False,nova_zero_ocr,high,True,,es_poster
134572,Blood Relations,/o2iVp7bFxaBqw9e1IkfEWBanZD1.jpg,True,ocr_text_present,,True,,es_poster
145996,Ghost Meets You,/oVYISQE1IjT9U5Vf2TOdBCdG0gb.jpg,True,ocr_text_present,,True,,es_poster
123107,Hellbenders,/sWgCQPypdN9jFaUSjItPn9htW9p.jpg,True,ocr_text_present,,True,,es_poster
