id,title,poster_path,disagree_fields,human_blood_gore,human_violence,human_sexual_content
100241,"I, Frankenstein",/a53tIl4k20zCZCNyq73kiXkwWkl.jpg,violence,,no,
1012410,"Teenage Ghost Girl",/7xHibGAwI6981h0nujVlV1p5STU.jpg,sexual_content,,,no
1023253,"Tales of Horror Reaching from the Darkness",/fkEkIJAR6NCWid0hBP6YuO7ki0u.jpg,blood_gore,no,,
1042720,"Sympathy for the Devil",/tJeXqn69fhoVuoGnp6J8I8sWm0Z.jpg,violence|sexual_content,,no,no
1054626,"The Bhootnii",/7hY958sJ5xfXSBS3hiBtMxpOqRK.jpg,violence,,no,
1083771,"Women's Crime Records: Edo Torture Punishment Chronicles",/jSJtzXrA2thKiwhCVtQZvvznYni.jpg,blood_gore|violence,no,si,
1091407,"Blood Lust",/qYVqgTvzUXtu2LghwqWsQu0NbPz.jpg,blood_gore|violence|sexual_content,si,no,no
1097612,"New Pen Fairy",/bq07QVrV6zxb9q7zJS9rT7bW73I.jpg,blood_gore|violence|sexual_content,no,si,no
1103892,"Mia",/4iDe5tdqXGWiQOjOt3occWxEZZd.jpg,violence,,no,
1118367,"Ida",/eiJfvxFlbTKzbJSiFrDl5PvUpqM.jpg,violence,,no,
1127560,"Yatsuhakamura",/snRK4JgUzCcglfNehmXniI8nz6T.jpg,blood_gore|violence,no,no,
1137251,"GORE",/4dL79T1cvIwQdS0HaouHLx0K5pH.jpg,violence|sexual_content,,no,no
1143007,"Blood on Each Step",/8lUl7KUs8DLp8ION3fYQRG1YPSL.jpg,blood_gore|violence,no,si,
1144719,"Okamuro-san",/xeMOAIjUBuhIyTkVxYj3KMpZ1qT.jpg,violence,,no,
1145277,"Document Super Scary Stories: Okinawa",/mXmtTsW24NN6DBkrcyOauINzrDn.jpg,sexual_content,,,no
1150696,"Gendai Kaiki Hyaku Monogatari: Kaidan Tanhenshu",/hezllpLreL2Dc46qjRJIVvFupbg.jpg,blood_gore|violence,no,no,
1174247,"Haunted Bridge",/e5TB1ZgrtE9PTgAuRpfSFlmmuRS.jpg,violence,,no,
1174342,"Burning Passion",/y9fOQ7QViv8RfDXjv6IgaOvpcBm.jpg,sexual_content,,,no
1178529,"Zetsuosore Taikan Kimodameshi",/iflpXVV1CKsZr8RMmUVrqN8xcvL.jpg,blood_gore|violence,no,no,
1179996,"Golden Eel",/kCL8ac6Vr7ueR1Wo4ndsYlFF2Oy.jpg,violence,,no,
1180377,"Boonpeng Iron Chest",/24iRFF0hJyeLqZOrgCWZdKkCiye.jpg,violence,,no,
1180529,"Blood Love: Nang Prai",/eJKY9cwIRsLfOhiHpOplV41f2f8.jpg,violence,,no,
1190953,"The Mystery of Nam Prai",/4f0WwMn9uuiL10BCDxnhm1CKZDa.jpg,blood_gore|violence|sexual_content,no,no,no_seguro
1192020,"Wandering Souls 2: Exploring Haunted Spots with Oda Nobunaga",/sf8axFeCJXHrGoMbdDQGaMlCZ2T.jpg,sexual_content,,,no
1199122,"Scary True Stories: Night 2",/oln1s7oWHUocmEz6YfypbBERhM7.jpg,blood_gore|violence,no,no,
1203023,"Travels of Lord Mito Pt.9",/eZxp9vVzGW4OricpqtbzqRL7DES.jpg,violence,,no,
1215044,"Body Trap",/fSm8FGIeVSizQ3PcOVuUDELwXIZ.jpg,sexual_content,,,no
1218245,"Hellhounds",/n5UA9BdqfhdPATA0HLSCntxVeU5.jpg,blood_gore|violence,no,no,
123107,"Hellbenders",/sWgCQPypdN9jFaUSjItPn9htW9p.jpg,blood_gore|violence,no,no,
1231306,"Blood Pizza",/dkzPyp1TFeF2YFlWWCz80dtv73V.jpg,blood_gore|violence,no,no,
1231764,"Stash",/u850tsWm4vZScsCI3lt9SH9ojDZ.jpg,blood_gore|violence|sexual_content,no,no,no
1232818,"Desintegration",/vBLSht2HZniRxvbDeJbj1MSsPUi.jpg,blood_gore|violence,no,no,
1242905,"Spiritual Tours",/dy7tPhCvy4bKSGFlkeS9XPTl44n.jpg,sexual_content,,,si
1249591,"Terrifying Spirit Disturbance Video: Attack 1",/iICoGbA3w0f6qIrGM05GZ2KGgHy.jpg,blood_gore|violence,no,no,
1249600,"Terrifying Spirit Disturbance Video 8: Darkness Edition",/wxLGtiJEuYhLR0DEymOyPp4j3Fg.jpg,blood_gore,no,,
1255452,"Dokugeki! Noroi no Shinrei Supotto: Gokuraku",/dpLOMOtADBTYZGrhmI81sELy6CR.jpg,blood_gore|violence,no,no,
1256728,"Short Shits",/jKXhOlWc6JBIRr5noptwEulva5x.jpg,blood_gore|violence,no,no,
1272300,"Foreclosure 2",/4oURJWpf1kJlqNmPHVfOi1vQDIJ.jpg,blood_gore|violence,no,no,
1292645,"Kuncen",/8XFnCNU1SIa100lI3bM7QDLPTEZ.jpg,blood_gore|violence,no,no,
129465,"Hells",/wzakuhm5mMxZXt6oP6CbkJuA7rV.jpg,violence,,no,
1306112,"Ruckus at Kwong Cheong Lung",/4KBRIsEN6Q2h3y99C77HOKAfsBf.jpg,blood_gore|violence,no,no,
1317282,"The Girl from the Darkness",/mBxbDlGhVVWuOf2eOyP56cMKlog.jpg,sexual_content,,,no
1320762,"SNOT",/mfBiisMec7fcjwOxn2Vj6NQlO2.jpg,blood_gore|violence,no,no,
1334664,"Phenomenon",/D8euZOwFhpEIyHZnPIlQMQTTVf.jpg,blood_gore,no,,
1341041,"A Haunted Romance",/2TqIVoUH71ZwZBFtvG6Y8P2YY8l.jpg,sexual_content,,,si
134572,"Blood Relations",/o2iVp7bFxaBqw9e1IkfEWBanZD1.jpg,blood_gore|sexual_content,no,,no
1352962,"Kalinga",/y62MzCi3Auwb1T4aGDPNE2gLyIE.jpg,violence,,no,
1354878,"Illuminati Castrati",/mJq53N4VtExZ72AaU6sReTrdysb.jpg,sexual_content,,,no
1382556,"snow monster",/kZs2PkgMcXaaH1PP4L4t9z9ii9R.jpg,sexual_content,,,si
14157,"Impulse",/80SZWcSwdAAym8mHN71RTL3l3JI.jpg,sexual_content,,,si
1432516,"Goke, Slime and Ooze",/cJ5GHwhsbys9c7wXBQvw2QQTQCX.jpg,sexual_content,,,no
