poster_path,segment_id,segment_title,shared_text,canonical_id,canonical_title,match_score,resolution
/gh6uTLqzDpeBxqTLf0nWoPhhLBa.jpg,80809,,PERRY MASON MOVIE COLLECTION DOUBLE FEATURE 1,,,0.0,no_compilation_entry_found
/gh6uTLqzDpeBxqTLf0nWoPhhLBa.jpg,226686,,PERRY MASON MOVIE COLLECTION DOUBLE FEATURE 1,,,0.0,no_compilation_entry_found
/K9spdtXD5oMEK2gqJcfgQyxepF.jpg,85755,,the case of the heartbroken bride,85755,Perry Mason: The Case of the Heartbroken Bride,0.8485,compilation_entry_found
/K9spdtXD5oMEK2gqJcfgQyxepF.jpg,97073,,the case of the heartbroken bride,85755,Perry Mason: The Case of the Heartbroken Bride,0.8485,compilation_entry_found
/1jhx6PXigL8IcLlDdFJEr3CbFl6.jpg,89463,,the case of the sinister spirit,89463,Perry Mason: The Case of the Sinister Spirit,0.8387,compilation_entry_found
/1jhx6PXigL8IcLlDdFJEr3CbFl6.jpg,225577,,the case of the sinister spirit,89463,Perry Mason: The Case of the Sinister Spirit,0.8387,compilation_entry_found
/e7CUI63PPIooocA8zsnVSOMIuUI.jpg,95400,,the case of the reckless romeo,95400,Perry Mason: The Case of the Reckless Romeo,0.8333,compilation_entry_found
/e7CUI63PPIooocA8zsnVSOMIuUI.jpg,228257,,the case of the reckless romeo,95400,Perry Mason: The Case of the Reckless Romeo,0.8333,compilation_entry_found
/ozDrWyWDMQ71Xv9fBcneOfErt80.jpg,128019,,skånska mord,128017,Skånska mord - Esarparen,0.75,compilation_entry_found
/ozDrWyWDMQ71Xv9fBcneOfErt80.jpg,128020,,skånska mord,128017,Skånska mord - Esarparen,0.75,compilation_entry_found
/1ofqFrH8tKlhPSx5dY5c6ltRWFw.jpg,144686,,REEL TALENT,,,0.4,no_compilation_entry_found
/1ofqFrH8tKlhPSx5dY5c6ltRWFw.jpg,353893,,REEL TALENT,,,0.4,no_compilation_entry_found
/8wxbAamQJQUeL0I90ApEoCiCRB9.jpg,153730,,SCARY TRUE STORIES,153730,Scary True Stories,1.0,compilation_entry_found
/8wxbAamQJQUeL0I90ApEoCiCRB9.jpg,353154,,SCARY TRUE STORIES,153730,Scary True Stories,1.0,compilation_entry_found
/nC2aTVDLoHG1JBHevxn6HmSssbY.jpg,174219,,the hazards of helen,796487,The Hazards of Helen,1.0,compilation_entry_found
/nC2aTVDLoHG1JBHevxn6HmSssbY.jpg,174220,,the hazards of helen,796487,The Hazards of Helen,1.0,compilation_entry_found
/nC2aTVDLoHG1JBHevxn6HmSssbY.jpg,300154,,the hazards of helen,796487,The Hazards of Helen,1.0,compilation_entry_found
/yLNFs0tk5sowWmUK6hg8tbIVOB6.jpg,186514,,BLAKE OF SCOTLAND YARD,337315,Blake of Scotland Yard,1.0,compilation_entry_found
