id,poster_path,text_you_read
80809,/gh6uTLqzDpeBxqTLf0nWoPhhLBa.jpg,PERRY MASON MOVIE COLLECTION DOUBLE FEATURE 1
85755,/K9spdtXD5oMEK2gqJcfgQyxepF.jpg,the case of the heartbroken bride
89463,/1jhx6PXigL8IcLlDdFJEr3CbFl6.jpg,the case of the sinister spirit
95400,/e7CUI63PPIooocA8zsnVSOMIuUI.jpg,the case of the reckless romeo
97073,/K9spdtXD5oMEK2gqJcfgQyxepF.jpg,the case of the skin deep scandal
128019,/ozDrWyWDMQ71Xv9fBcneOfErt80.jpg,skånska mord
128020,/ozDrWyWDMQ71Xv9fBcneOfErt80.jpg,SKANSK MORD
144686,/1ofqFrH8tKlhPSx5dY5c6ltRWFw.jpg,REEL TALENT
153730,/8wxbAamQJQUeL0I90ApEoCiCRB9.jpg,SCARY TRUE STORIES
174219,/nC2aTVDLoHG1JBHevxn6HmSssbY.jpg,the hazards of helen
174220,/nC2aTVDLoHG1JBHevxn6HmSssbY.jpg,the hazards of helen
186514,/yLNFs0tk5sowWmUK6hg8tbIVOB6.jpg,BLAKE OF SCOTLAND YARD
219252,/iiblQC8eJ7FLovJkV77fuTfcXeu.jpg,四谷怪談
219253,/iiblQC8eJ7FLovJkV77fuTfcXeu.jpg,四谷怪談
225577,/1jhx6PXigL8IcLlDdFJEr3CbFl6.jpg,the case of the sinister spirit
226675,/nmpaPoRHtFDyUZw8KRMmiRD7zS4.jpg,THE CASE OF THE GRIMACING GOVERNOR
226679,/nmpaPoRHtFDyUZw8KRMmiRD7zS4.jpg,the case of the jealous jokester
226686,/gh6uTLqzDpeBxqTLf0nWoPhhLBa.jpg,the case of the notorious nun
228257,/e7CUI63PPIooocA8zsnVSOMIuUI.jpg,the case of the fatal framing
229088,/8wbUyxL1Ccw0Nh7J4Qv50YzAbW4.jpg,the case of the poisoned pen
229102,/8wbUyxL1Ccw0Nh7J4Qv50YzAbW4.jpg,the case of the desperate deception
240333,/yLNFs0tk5sowWmUK6hg8tbIVOB6.jpg,BLAKE OF SCOTLAND YARD
246953,/o0OW6gLAnhfZLGWe9vOsAEOKtmu.jpg,HELEN GIBSON SILENT SERIAL QUEEN
251282,/859NRz2v0OMXAXzUDtHTHtjSfhu.jpg,MAD GOD
270496,/o0OW6gLAnhfZLGWe9vOsAEOKtmu.jpg,HELEN GIBSON SILENT SERIAL QUEEN
270500,/o0OW6gLAnhfZLGWe9vOsAEOKtmu.jpg,HELEN GIBSON SILENT SERIAL QUEEN
274105,/2vxvYhpCPAuQwdj2C2IbuxTLn9g.jpg,Stabbing at Leia's 22nd Birthday
300154,/nC2aTVDLoHG1JBHevxn6HmSssbY.jpg,the hazards of helen
303480,/c1wh7SPYtgJuCoW6Meq43oUTziN.jpg,鬼掩眼
320889,/xhk1Fm4J3mK6QlkZFLYHedowePs.jpg,ALPHAMANN
323508,/dQcCtdo5uaevFCuDFgYi1hdRNIs.jpg,angels die slowly
344001,/dQED4TeHOkZ5MXV7ipMRkqkssYO.jpg,the abcs of death
353154,/8wxbAamQJQUeL0I90ApEoCiCRB9.jpg,SCARY TRUE STORIES
353893,/1ofqFrH8tKlhPSx5dY5c6ltRWFw.jpg,REEL TALENT
378362,/859NRz2v0OMXAXzUDtHTHtjSfhu.jpg,MAD GOD
379100,/dQED4TeHOkZ5MXV7ipMRkqkssYO.jpg,the abcs of death
