id,lang_code,translated,was_translated,overlap_max
72039,es,0,0,0.8
505063,en,0,0,1.0
244805,id,1,1,0.0
360118,en,0,0,1.0
826047,en,0,0,1.0
495031,en,0,0,1.0
46921,en,0,0,1.0
1722854,en,0,0,1.0
20669,en,0,0,1.0
710295,en,0,0,0.0
349067,en,0,0,1.0
86330,it,0,0,1.0
1017995,en,0,0,1.0
278806,en,0,0,1.0
634171,en,0,0,0.0
1455589,de,0,0,1.0
927409,en,0,0,0.0
36003,en,0,0,1.0
1714026,en,0,0,0.0
645881,de,0,0,1.0
117216,en,0,0,0.0
1196089,ht,0,0,1.0
287077,de,0,0,0.8333
9064,nl,0,0,1.0
744273,en,0,0,1.0
831396,en,0,0,1.0
663122,nl,0,0,1.0
282391,bs,0,0,1.0
256907,en,0,0,1.0
261403,es,0,0,1.0
644460,en,0,0,0.0
53806,en,0,0,1.0
464832,es,0,0,1.0
849255,en,0,0,0.0
732773,en,0,0,1.0
752443,en,0,0,1.0
684807,en,0,0,1.0
7282,et,0,0,1.0
402515,en,0,0,1.0
1244381,en,0,0,1.0
1596208,et,0,0,1.0
86343,en,0,0,1.0
840324,it,0,0,1.0
70247,de,0,0,1.0
436113,en,0,0,1.0
760918,en,0,0,1.0
449463,en,0,0,1.0
491132,en,0,0,0.75
135579,en,0,0,1.0
235796,en,0,0,1.0
406453,en,0,0,0.4
980478,en,0,0,1.0
659313,id,0,0,1.0
726239,en,0,0,0.0
850060,en,0,0,0.3333
283437,pt,0,0,0.6667
1216210,en,0,0,1.0
772295,en,0,0,1.0
751497,en,0,0,0.5
797781,en,0,0,1.0
739587,en,0,0,1.0
85197,en,0,0,0.5
87858,en,0,0,1.0
524736,en,0,0,1.0
1024747,en,0,0,0.0
1583838,en,0,0,1.0
792149,en,0,0,1.0
255674,en,0,0,1.0
1258568,en,0,0,1.0
847197,en,0,0,1.0
147232,ro,0,0,1.0
497830,en,0,0,1.0
579437,en,0,0,1.0
110345,en,0,0,1.0
149630,en,0,0,1.0
794234,en,0,0,1.0
537715,en,0,0,1.0
966572,pt,0,0,1.0
105004,fr,1,1,0.4
739123,en,0,0,1.0
970512,en,0,0,1.0
533210,et,0,0,1.0
602547,ceb,1,1,0.0
1428191,en,0,0,0.5
931896,ht,1,1,0.0
1242578,en,0,0,0.875
216203,en,0,0,1.0
29505,en,0,0,1.0
681457,en,0,0,0.5
776294,en,0,0,0.6
1617087,fr,1,1,0.5
681185,en,0,0,1.0
1064178,en,0,0,1.0
954787,es,0,0,1.0
1009049,en,0,0,0.0
1743173,,,,
469666,en,0,0,0.0
321713,nl,1,1,0.0
732231,en,0,0,1.0
732232,en,0,0,1.0
